 Raspberry pi pico  ,1,5,5,https://fr.aliexpress.com/item/1005008244091735.html?spm=a2g0o.productlist.main.33.62feCDvDCDvDRi&algo_pvid=e6216b53-38a4-4b0d-8471-063a85627114&algo_exp_id=e6216b53-38a4-4b0d-8471-063a85627114-16&pdp_ext_f=%7B%22order%22%3A%22122%22%2C%22eval%22%3A%221%22%7D&pdp_npi=4%40dis%21EUR%211.64%211.64%21%21%2112.90%2112.89%21%40210385a817439228228155974e6f71%2112000044353611082%21sea%21FR%212048486615%21X&curPageLogUid=fpn5O6BkZJKw&utparam-url=scene%3Asearch%7Cquery_from%3A
 Linear rail MGN12H 300mm ,2,12,24,https://fr.aliexpress.com/item/1005003696820721.html?spm=a2g0o.productlist.main.5.2b4671c6B6AyyA&algo_pvid=53b7209d-5459-4372-be57-56b8f903ad82&algo_exp_id=53b7209d-5459-4372-be57-56b8f903ad82-2&pdp_ext_f=%7B%22order%22%3A%22733%22%2C%22eval%22%3A%221%22%7D&pdp_npi=4%40dis%21EUR%2111.22%217.29%21%21%2112.13%217.88%21%40210390c217439228446001528e6bca%2112000026841821319%21sea%21FR%212048486615%21X&curPageLogUid=MELm0o6Dsymm&utparam-url=scene%3Asearch%7Cquery_from%3A
 M3*8 screws ,50,2,2,https://fr.aliexpress.com/item/32810872544.html?spm=a2g0o.productlist.main.7.1d69412bvSH4Cx&aem_p4p_detail=2025040600010640756897435980013805464&algo_pvid=659260cb-33d0-4946-ba20-d83014f90ca0&algo_exp_id=659260cb-33d0-4946-ba20-d83014f90ca0-3&pdp_ext_f=%7B%22order%22%3A%2218377%22%2C%22eval%22%3A%221%22%7D&pdp_npi=4%40dis%21EUR%211.56%211.56%21%21%211.69%211.69%21%402103956b17439228661434016e24e9%2112000037536050577%21sea%21FR%212048486615%21X&curPageLogUid=4qoV2do5QK1p&utparam-url=scene%3Asearch%7Cquery_from%3A&search_p4p_id=2025040600010640756897435980013805464_1
 M3 T nuts,20,3,0,https://fr.aliexpress.com/item/32788058829.html?spm=a2g0o.productlist.main.27.2079285f8XhaKx&algo_pvid=f1421ba4-0594-4ad0-bd8b-ae99450d2068&algo_exp_id=f1421ba4-0594-4ad0-bd8b-ae99450d2068-13&pdp_ext_f=%7B%22order%22%3A%22652%22%2C%22eval%22%3A%221%22%7D&pdp_npi=4%40dis%21EUR%211.72%211.72%21%21%211.86%211.86%21%40211b876e17439228901471234e4fdc%2112000025399222710%21sea%21FR%212048486615%21X&curPageLogUid=4EC9CBPrxgUR&utparam-url=scene%3Asearch%7Cquery_from%3A
 M5*16 screws ,8,2,2,https://fr.aliexpress.com/item/1005005879037174.html?spm=a2g0o.productlist.main.23.23c91925BdBD6g&aem_p4p_detail=202504060002398816350456648160012133187&algo_pvid=64c588e6-52fa-493a-b6f6-d71efcc751fb&algo_exp_id=64c588e6-52fa-493a-b6f6-d71efcc751fb-11&pdp_ext_f=%7B%22order%22%3A%226944%22%2C%22eval%22%3A%221%22%7D&pdp_npi=4%40dis%21EUR%211.10%211.10%21%21%211.19%211.19%21%40211b81a317439229594244571e9d53%2112000034679037239%21sea%21FR%212048486615%21X&curPageLogUid=vQ3azLTtOQR2&utparam-url=scene%3Asearch%7Cquery_from%3A&search_p4p_id=202504060002398816350456648160012133187_3
 M6*12 screws ,2,3,6,
 M4*12 screws ,5,2,10,
 Nema 17 gearbox 1:51 ,2,20,40,https://fr.aliexpress.com/item/1005008063969593.html?spm=a2g0o.productlist.main.3.3f6c1336Vncc3F&algo_pvid=4e2f6d78-6c42-48ed-a418-7d932dc8e9cf&algo_exp_id=4e2f6d78-6c42-48ed-a418-7d932dc8e9cf-1&pdp_ext_f=%7B%22order%22%3A%226%22%2C%22eval%22%3A%221%22%7D&pdp_npi=4%40dis%21EUR%2116.47%216.59%21%21%21129.18%2151.69%21%40211b61d017439231331142936e9eec%2112000043507777942%21sea%21FR%212048486615%21X&curPageLogUid=31hhvk0feFdU&utparam-url=scene%3Asearch%7Cquery_from%3A
 24V membrane pump ,1,15,15,"https://fr.aliexpress.com/item/1005008493661821.html?spm=a2g0o.detail.pcDetailBottomMoreOtherSeller.16.5d259OQi9OQiQT&gps-id=pcDetailBottomMoreOtherSeller&scm=1007.40050.354490.0&scm_id=1007.40050.354490.0&scm-url=1007.40050.354490.0&pvid=47e3bf1e-c18a-4fc1-9605-a1b399ed2023&_t=gps-id:pcDetailBottomMoreOtherSeller,scm-url:1007.40050.354490.0,pvid:47e3bf1e-c18a-4fc1-9605-a1b399ed2023,tpp_buckets:668%232846%238107%231934&pdp_ext_f=%7B%22order%22%3A%222%22%2C%22eval%22%3A%221%22%2C%22sceneId%22%3A%2230050%22%7D&pdp_npi=4%40dis%21EUR%2112.49%2112.49%21%21%2197.94%2197.94%21%40210384b917439232631331028e27b4%2112000045393584375%21rec%21FR%212048486615%21X&utparam-url=scene%3ApcDetailBottomMoreOtherSeller%7Cquery_from%3A"
 Filter cardridge ,4,2,8,https://fr.aliexpress.com/item/1005006706760484.html?spm=a2g0o.productlist.main.1.341a68895up8V3&algo_pvid=34ceab7f-4132-47b4-af44-0afb8c35fb78&algo_exp_id=34ceab7f-4132-47b4-af44-0afb8c35fb78-0&pdp_ext_f=%7B%22order%22%3A%22656%22%2C%22eval%22%3A%221%22%7D&pdp_npi=4%40dis%21EUR%2122.83%217.99%21%21%21179.06%2162.67%21%402103890117439233844616667e8c7a%2112000038060988853%21sea%21FR%212048486615%21X&curPageLogUid=DWmgbfXReumk&utparam-url=scene%3Asearch%7Cquery_from%3A
 Filter holder,1,15,15,"https://fr.aliexpress.com/item/1005007179471330.html?spm=a2g0o.detail.pcDetailTopMoreOtherSeller.3.3ecbs1Vbs1VbTu&gps-id=pcDetailTopMoreOtherSeller&scm=1007.40050.354490.0&scm_id=1007.40050.354490.0&scm-url=1007.40050.354490.0&pvid=f07442e7-6465-4ae8-baf7-d334d31d48f3&_t=gps-id:pcDetailTopMoreOtherSeller,scm-url:1007.40050.354490.0,pvid:f07442e7-6465-4ae8-baf7-d334d31d48f3,tpp_buckets:668%232846%238114%231999&pdp_ext_f=%7B%22order%22%3A%22300%22%2C%22eval%22%3A%221%22%2C%22sceneId%22%3A%2230050%22%7D&pdp_npi=4%40dis%21EUR%2113.99%2113.99%21%21%21109.72%21109.72%21%40210384b917439233891744626e27b4%2112000039718310458%21rec%21FR%212048486615%21XZ&utparam-url=scene%3ApcDetailTopMoreOtherSeller%7Cquery_from%3A"
Adapter 1/2-> 6mm,2,2,4,https://fr.aliexpress.com/item/1005002505807954.html?spm=a2g0o.productlist.main.19.41683c3cz0nClz&algo_pvid=241e7c22-c1e5-4105-adf5-db0baa569578&algo_exp_id=241e7c22-c1e5-4105-adf5-db0baa569578-9&pdp_ext_f=%7B%22order%22%3A%22100%22%2C%22eval%22%3A%221%22%7D&pdp_npi=4%40dis%21EUR%210.58%210.58%21%21%214.54%214.54%21%402103868817439235127433783e8b1e%2112000020919570603%21sea%21FR%212048486615%21X&curPageLogUid=rcVyhZipyeGD&utparam-url=scene%3Asearch%7Cquery_from%3A
Adapter m6-> 6mm,5,1,5,
